city,neighbourhood,street,Area,Number of rooms,Floor,No. of floors,Building type,Heating system,Equipment,Building Energy Efficiency Class,Additional premises,Additional Equipment,Security,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop,crime,Price,Percent_Decrease,build_year,renovation_year,is_renovated,is_price_decreased,STREET,AVG_BIRTH_YEAR,TOTAL_CHILDREN,TOTAL_PEOPLE,TOTAL_DIVORCED,TOTAL_WIDOWED,TOTAL_MARRIED,TOTAL_SINGLE
Vilnius,Pilaitė,M. Pretorijaus g.,80.0,4,2,2,Brick,"Aerothermal, other",Partially equipped,,,,,480.0,340.0,760.0,350.0,0,208000,,2024,2024.0,0,0,M. Pretorijaus g.,1985.1208791208792,122.0,273.0,19.0,4.0,129.0,121.0
Vilnius,Fabijoniškės,Vėtrungių g.,39.42,2,7,9,Block house,Central,Fully equipped,,Balcony Cellar Closet,Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath,Steel doors Code door lock,120.0,260.0,350.0,120.0,3,115900,,1990,1990.0,0,0,,,,,,,,
Vilnius,Markučiai,Manufaktūrų g.,40.0,2,3,6,Block house,Central thermostat,Fully equipped,,Balcony,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Shower Recuperation,Code door lock Video surveillance,170.0,720.0,50.0,250.0,"18,80 €/month
~ 0,47 €/m²",186000,,2022,2022.0,0,0,,,,,,,,
Vilnius,Naujamiestis,Marijampolės g.,41.22,2,2,7,Brick,Central thermostat,Partially equipped,A+,Balcony,Floor heating system Recuperation,Steel doors Code door lock Video surveillance,650.0,540.0,170.0,150.0,14,154575,,2025,2025.0,0,0,Marijampolės g.,1983.2758620689656,7.0,29.0,1.0,1.0,9.0,18.0
Vilnius,Fabijoniškės,P. Žadeikos g.,38.16,2,1,14,Block house,Central,Fully equipped,,Storeroom,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath,Steel doors Alarm system Code door lock,400.0,350.0,130.0,80.0,5,96000,3%,1993,1993.0,0,1,P. Žadeikos g.,1980.0535470668485,1017.0,2932.0,267.0,174.0,1326.0,1165.0
Vilnius,Pilaitė,Karaliaučiaus g.,30.0,2,2,4,Brick,Central thermostat,Fully equipped,A++,Balcony,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath Recuperation,Steel doors Code door lock,80.0,380.0,110.0,50.0,5,127500,,2024,2024.0,0,0,Karaliaučiaus g.,1986.1510349288487,1231.0,3092.0,345.0,119.0,1173.0,1455.0
Vilnius,Naujamiestis,A. Vivulskio g.,79.0,3,4,4,Brick,Central,Fully equipped,,,,,60.0,160.0,140.0,90.0,30,389900,"1,3%",2007,2007.0,0,1,A. Vivulskio g.,1983.0664945125889,560.0,1549.0,168.0,76.0,570.0,735.0
Vilnius,Pašilaičiai,Medeinos g.,50.95,2,1,9,Block house,Central,Fully equipped,,,,,350.0,130.0,140.0,150.0,6,110000,"8,3%",1987,1987.0,0,1,Medeinos g.,1979.5389105058366,1432.0,4112.0,415.0,314.0,1801.0,1582.0
Vilnius,Paupys,Paupio g.,32.13,1,2,4,Brick,Central thermostat,Fully equipped,,Terrace,Furniture,Steel doors Code door lock,500.0,410.0,210.0,100.0,"20,88 €/month
~ 0,65 €/m²",194900,"2,5%",2021,2021.0,0,1,,,,,,,,
Vilnius,Karoliniškės,Algimanto Petro Kavoliuko g.,66.0,3,3,5,Brick,Central thermostat,Partially equipped,A+,Storeroom Balcony Parking space,Plastic pipes,Steel doors Code door lock Video surveillance,50.0,550.0,380.0,270.0,22,199000,,2022,2022.0,0,0,Algimanto Petro Kavoliuko g.,1977.158400699148,1376.0,4577.0,606.0,458.0,1751.0,1762.0
Vilnius,Justiniškės,Justiniškių g.,40.12,2,1,5,Block house,Central,Fully equipped,,Storeroom Cellar,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower,Steel doors Code door lock,180.0,310.0,250.0,200.0,"51,75 €/month
~ 1,29 €/m²",86000,,1986,1986.0,0,0,Justiniškių g.,1977.4186711121695,1287.0,4199.0,490.0,370.0,1787.0,1552.0
Vilnius,Užupis,Filaretų g.,53.9,3,4,5,Brick,Central thermostat,Partially equipped,A+,Terrace,Floor heating system,Steel doors Code door lock Video surveillance,110.0,130.0,390.0,50.0,3,323400,,2025,2025.0,0,0,,,,,,,,
Vilnius,Pilaitė,M. Mažvydo g.,63.0,3,8,9,Block house,Central thermostat,Fully equipped,,Storeroom Balcony Cellar Parking space,Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath,Steel doors Alarm system Code door lock,310.0,310.0,70.0,200.0,8,189000,"1,6%",2012,2012.0,0,1,M. Mažvydo g.,1990.3647887323943,1060.0,2130.0,162.0,47.0,923.0,998.0
Vilnius,Šnipiškės,Kalvarijų g.,54.39,3,7,9,Brick,Central,Partially equipped,,,,Steel doors Code door lock,120.0,200.0,290.0,110.0,15,137000,"5,4%",1990,1990.0,0,1,Kalvarijų g.,1976.0398847437064,1816.0,6594.0,924.0,626.0,2480.0,2564.0
Vilnius,Šnipiškės,Kalvarijų g.,28.32,2,9,9,Brick,Central,Partially equipped,,,,Steel doors Code door lock,120.0,200.0,290.0,110.0,15,69900,"1,3%",1990,1990.0,0,1,Kalvarijų g.,1976.0398847437064,1816.0,6594.0,924.0,626.0,2480.0,2564.0
