city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Senamiestis;A. Jakšto g.;"Price increased 6,4%
159 000 € (8 978 €/m²)";;;17,71 m²;1;2;5;1914;Brick;Central;Fully equipped;;;;;;370 m;370 m;260 m;120 m;24;;
Vilnius;Naujamiestis;Savanorių pr.;"Price decreased 0,9%
337 000 € (4 209 €/m²)";;;80,06 m²;3;9;18;2009;Brick;Central thermostat;Fully equipped;;Has elevator High ceiling New sewage system New electrical installation Private yard Internet Cable television;Balcony Parking space Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock Video surveillance;320 m;140 m;70 m;140 m;"100,88 €/month
~ 1,26 €/m²";;
Vilnius;Viršuliškės;Viršuliškių g.;129 900 € (2 660 €/m²);;;48,84 m²;3;3;9;1977;Block house;Central;Fully equipped;;Kitchen merged with room;Balcony Cellar;Furniture Refrigerator Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;300 m;390 m;280 m;120 m;"54,70 €/month
~ 1,12 €/m²";;
Vilnius;Lazdynėliai;Lazdynėlių g.;155 000 € (3 780 €/m²);38;45;41 m²;2;3;4;2019;Brick;Central thermostat;Fully equipped;;Has elevator Private yard Kitchen merged with room;Storeroom Balcony Parking space;Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Code door lock Video surveillance;330 m;1,6 km;220 m;200 m;"18,45 €/month
~ 0,45 €/m²";;
Vilnius;Lazdynėliai;Lazdynėlių g.;"Price decreased 1,9%
155 000 € (3 780 €/m²)";38;45;41 m²;2;3;4;2019;Brick;Central thermostat;Fully equipped;;Has elevator Private yard Kitchen merged with room;Storeroom Balcony Parking space;Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Code door lock Video surveillance;330 m;1,6 km;220 m;200 m;"18,45 €/month
~ 0,45 €/m²";;
Vilnius;Užupis;Polocko g.;47 000 € (2 611 €/m²);;;18 m²;1;2;3;1905;Brick;Central;Fully equipped;;High ceiling Two-floor flat New electrical installation Private yard Internet;;Furniture Kitchen furniture;Steel doors Code door lock;330 m;200 m;300 m;30 m;8;;
Vilnius;Karoliniškės;Apolinaro Juozo Povilaičio g.;"Price decreased 3,7%
103 000 € (2 060 €/m²)";14;;50 m²;2;1;5;1977;Block house;Central;Fully equipped;;Separate bathroom and WC;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock Video surveillance;430 m;120 m;360 m;220 m;13;;
Vilnius;Šnipiškės;Daugėliškio g.;197 455 € (4 250 €/m²);27;18;46,46 m²;2;3;7;2025;Brick;Central thermostat;Partially equipped;A++;Has elevator New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space Closet;Conditioner Floor heating system Bath Recuperation;Steel doors Code door lock Video surveillance;340 m;540 m;420 m;120 m;13;;
Vilnius;Markučiai;Subačiaus g.;575 000 € (3 966 €/m²);;;145 m²;6;3;3;2018;Block house;Gas;Fully equipped;;Internet High ceiling Kitchen merged with room;;Furniture Conditioner Washing machine Bath;;470 m;280 m;480 m;180 m;4;;
Vilnius;Šnipiškės;Rinktinės g.;58 000 € (2 417 €/m²);42;;24 m²;1;2;5;1969;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;160 m;190 m;210 m;190 m;"24,24 €/month
~ 1,01 €/m²";;
Vilnius;Karoliniškės;Algimanto Petro Kavoliuko g.;92 000 € (2 553 €/m²);;;36,03 m²;1;5;5;1974;Block house;Central;Fully equipped;;;;;;180 m;280 m;200 m;350 m;11;;
Vilnius;Senamiestis;Teatro g.;499 000 € (6 287 €/m²);;;79,37 m²;3;3;3;2022 construction, 2022 renovation;Brick;Aerothermal;Fully equipped;;Private yard Internet High ceiling New sewage system New electrical installation;Parking space;Fireplace Furniture Washing machine Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Code door lock;400 m;240 m;410 m;220 m;29;;
Vilnius;Šeškinė;Musninkų g.;75 000 € (2 143 €/m²);8;;35 m²;1;5;5;1980;Block house;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Balcony Cellar Parking space;Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;80 m;230 m;180 m;240 m;"53,20 €/month
~ 1,52 €/m²";;
Vilnius;Žirmūnai;M. Katkaus g.;209 000 € (4 309 €/m²);;;48,5 m²;2;1;7;2020;Block house;Central thermostat;Fully equipped;A++;Has elevator Private yard Kitchen merged with room;Balcony Terrace Parking space;Washing machine Furniture Floor heating system Kitchen furniture Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;160 m;240 m;240 m;100 m;20;;
Vilnius;Naujininkai;Garvežių g.;76 000 € (2 180 €/m²);15;;34,87 m²;1;6;9;1985;Brick;Central;Fully equipped;;Internet Cable television;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;140 m;270 m;510 m;540 m;7;;
Vilnius;Senamiestis;M. Daukšos g.;225 900 € (4 154 €/m²);11;;54,38 m²;3;2;2;1940;Brick;Gas;Fully equipped;;;;;;140 m;100 m;210 m;100 m;14;;
Vilnius;Antakalnis;Pylimėlių g.;360 000 € (2 980 €/m²);6A;;120,8 m²;3;1;3;2003;Brick;Gas;Fully equipped;;Private entrance Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Terrace Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Plastic pipes Dish washer Bath;Steel doors Code door lock;1,6 km;650 m;470 m;540 m;2;;
Vilnius;Lazdynėliai;Lazdynėlių g.;181 500 € (3 129 €/m²);;;58 m²;3;2;4;2024;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Internet Kitchen merged with room;Balcony Parking space;;Steel doors Code door lock;290 m;1,6 km;290 m;300 m;0;;
