city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Flat No.;Building Energy Efficiency Class
Vilnius;Senamiestis;Šiaulių g.;1 750 000 € (8 542 €/m²);;204,88 m²;4;2;3;2009;Brick;Central thermostat;Fully equipped;High ceiling Private yard Kitchen merged with room;Balcony Terrace Sauna Parking space Closet;Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Shower Bath;Steel doors Alarm system Code door lock Video surveillance Guard;130 m;390 m;190 m;160 m;"182,34 €/month
~ 0,89 €/m²";;
Vilnius;Naujininkai;Prūsų g.;"Price decreased 5,1%
74 000 € (1 598 €/m²)";;46,3 m²;2;1;2;1940;Brick;Gas, solid fuel;Not equipped;;;Furniture;;320 m;280 m;300 m;90 m;9;;C
Vilnius;Naujamiestis;Vytenio g.;198 000 € (3 158 €/m²);20;62,7 m²;2;4;4;1970 construction, 2011 renovation;Brick;Central;Fully equipped;High ceiling Two-floor flat New sewage system New electrical installation Kitchen merged with room;;Washing machine Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors Code door lock;130 m;290 m;360 m;190 m;17;;
Vilnius;Senamiestis;Trakų g.;590 000 € (4 372 €/m²);11A;134,94 m²;5;3;3;1954 construction, 2009 renovation;Brick;Central;Fully equipped;Two-floor flat;;Fireplace Furniture Washing machine Kitchen furniture Stove Bath Recuperation;Steel doors;60 m;130 m;170 m;110 m;16;;
Vilnius;Pilaitė;Sidaronių g.;"Price decreased 2,4%
160 000 € (3 110 €/m²)";29;51,44 m²;2;2;3;2022;Brick;Central thermostat;Fully equipped;Has elevator;;;;710 m;720 m;620 m;60 m;0;;
Vilnius;Liepkalnis;Sparno g.;53 250 € (1 500 €/m²);11;35,5 m²;1;1;1;1940;Wooden house;Solid fuel;Fully equipped;Sale by auction private entrance;;;;250 m;250 m;630 m;320 m;2;;
Vilnius;Antakalnis;Tverečiaus g.;"Price decreased 1,7%
285 000 € (2 192 €/m²)";26;130 m²;5;6;6;1996;Brick;Gas;Fully equipped;;;;;240 m;360 m;300 m;320 m;"170,30 €/month
~ 1,31 €/m²";;
Vilnius;Senamiestis;J. Jasinskio g.;222 900 € (3 911 €/m²);;57 m²;2;3;4;1954;Brick;Central;Fully equipped;High ceiling Separate bathroom and WC Private yard Internet Cable television Kitchen merged with room;Storeroom Cellar Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Code door lock;350 m;160 m;240 m;90 m;9;;
Vilnius;Burbiškės;Bartų g.;164 000 € (2 872 €/m²);11;57,1 m²;3;1;3;2025;Brick;Gas;Partially equipped;Internet Kitchen merged with room Cable television;Terrace;Washing machine Floor heating system Bath Recuperation;Steel doors Alarm system Video surveillance Code door lock;1,3 km;1,2 km;1,2 km;;1;;A+
Vilnius;Burbiškės;Bartų g.;312 000 € (3 221 €/m²);11;96,85 m²;5;3;3;2025;Brick;Gas;Partially equipped;Internet Kitchen merged with room Cable television;Terrace;Washing machine Floor heating system Bath Recuperation;Steel doors Alarm system Video surveillance Code door lock;1,3 km;1,2 km;1,2 km;;1;;A+
Vilnius;Šeškinė;Buivydiškių g.;94 000 € (2 686 €/m²);36;35 m²;2;3;5;1986 construction, 2023 renovation;Brick;Central thermostat;Fully equipped;;;;;220 m;350 m;250 m;90 m;6;;
Vilnius;Viršuliškės;Viršilų g.;161 000 € (3 578 €/m²);6;45 m²;2;2;18;2023;Monolithic;Central thermostat;Fully equipped;New sewage system New electrical installation Kitchen merged with room;Balcony;Shower Recuperation;Steel doors Code door lock Video surveillance;380 m;280 m;680 m;190 m;12;;
Vilnius;Viršuliškės;Viršilų g.;172 000 € (3 822 €/m²);6;45 m²;2;3;18;2023;Monolithic;Central thermostat;Fully equipped;New sewage system New electrical installation Kitchen merged with room;Balcony Parking space;Conditioner Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;380 m;280 m;680 m;190 m;12;;
Vilnius;Burbiškės;Bartų g.;215 000 € (3 051 €/m²);11;70,46 m²;4;2;3;2024;Brick;Gas;Partially equipped;Internet Kitchen merged with room Cable television;Terrace;Washing machine Floor heating system Bath Recuperation;Steel doors Alarm system Video surveillance Code door lock;1,3 km;1,2 km;1,2 km;;1;;A+
Vilnius;Burbiškės;Bartų g.;185 000 € (3 078 €/m²);11;60,11 m²;3;2;3;2024;Brick;Gas;Partially equipped;Internet Kitchen merged with room Cable television;Terrace;Washing machine Floor heating system Bath Recuperation;Steel doors Alarm system Video surveillance Code door lock;1,3 km;1,2 km;1,2 km;;1;;A+
Vilnius;Viršuliškės;Juozo Rutkausko g.;"Price decreased 1%
195 000 € (3 939 €/m²)";25;49,5 m²;2;4;6;2017;Monolithic;Central thermostat;Fully equipped;Private yard;Balcony;Conditioner Washing machine Refrigerator Stove Bath;Steel doors Alarm system Code door lock Video surveillance;240 m;600 m;390 m;130 m;7;;A+
Vilnius;Viršuliškės;Buivydiškių g.;64 000 € (2 083 €/m²);36;30,73 m²;2;1;5;1986 construction, 2022 renovation;Brick;Central thermostat;Partially equipped;Has elevator High ceiling Kitchen merged with room;Terrace;;Steel doors Code door lock;220 m;350 m;250 m;90 m;6;;
Vilnius;Senamiestis;Šv. Stepono g.;275 000 € (3 770 €/m²);20B;72,95 m²;3;3;3;1940;Brick;Electric;Fully equipped;Flat in an attic Separate bathroom and WC Private yard Internet Kitchen merged with room;Storeroom Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Steel doors Code door lock;90 m;140 m;140 m;180 m;43;;
Vilnius;Žvėrynas;Paribio g.;97 500 € (4 410 €/m²);12;22,11 m²;1;3;7;2024;Monolithic;Central thermostat;Partially equipped;New sewage system New electrical installation Private yard Kitchen merged with room;Balcony;Recuperation;Code door lock Video surveillance;150 m;300 m;490 m;420 m;3;;A+
Vilnius;Užupis;Aukštaičių g.;365 106 € (7 361 €/m²);31;49,6 m²;2;1;4;2024;Brick;Central thermostat;Fully equipped;Has elevator New sewage system New electrical installation Private yard Kitchen merged with room;Terrace;Conditioner Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Video surveillance;650 m;500 m;290 m;40 m;6;B313;
Vilnius;Fabijoniškės;Fabijoniškių g.;97 000 € (2 425 €/m²);;40 m²;1;5;5;1988;Block house;Central;Fully equipped;Separate bathroom and WC Private yard;Storeroom Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;280 m;380 m;120 m;210 m;"44,80 €/month
~ 1,12 €/m²";;
Vilnius;Fabijoniškės;S. Stanevičiaus g.;"Price decreased 2,5%
115 000 € (1 855 €/m²)";17;62 m²;3;1;5;1989;Block house;Central;Fully equipped;Separate bathroom and WC New sewage system New electrical installation;Storeroom Balcony Cellar Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;360 m;270 m;390 m;440 m;6;;
Vilnius;Naujamiestis;Antano Tumėno g.;1 850 000 € (7 211 €/m²);4;256,57 m²;6;13;18;2007;Other;Central thermostat;Fully equipped;High ceiling Internet Kitchen merged with room;Balcony Parking space Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance Guard;420 m;180 m;270 m;140 m;5;;
Vilnius;Pašilaičiai;Perkūnkiemio g.;104 900 € (2 482 €/m²);;42,26 m²;1;3;9;2007;Brick;Central thermostat;Fully equipped;;;;;90 m;830 m;390 m;120 m;"21,55 €/month
~ 0,51 €/m²";;
Vilnius;Senamiestis;Pylimo g.;164 000 € (6 308 €/m²);;26 m²;2;1;4;2015;Brick;Central thermostat;Fully equipped;;;Shower;;240 m;220 m;60 m;70 m;"17,94 €/month
~ 0,69 €/m²";;
Vilnius;Lazdynėliai;Jonažolių g.;"Price decreased 1,9%
265 000 € (2 756 €/m²)";15;96,17 m²;4;5;6;2007;Brick;Central;Fully equipped;Separate bathroom and WC;Balcony Sauna;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower Bath;Steel doors Code door lock;310 m;510 m;260 m;110 m;"63,47 €/month
~ 0,66 €/m²";;
Vilnius;Naujamiestis;Mindaugo g.;172 000 € (3 721 €/m²);44;46,23 m²;2;3;4;2011;Brick;Central thermostat;Fully equipped;;;;;530 m;370 m;300 m;250 m;"26,35 €/month
~ 0,57 €/m²";;
Vilnius;Šnipiškės;A. Juozapavičiaus g.;1 150 000 € (7 217 €/m²);;159,34 m²;4;8;8;2008;Brick;Central thermostat;Fully equipped;Kitchen merged with room;Terrace Parking space Closet;Furniture Kitchen furniture Bath;Steel doors Code door lock;80 m;180 m;270 m;290 m;21;;
Vilnius;Šnipiškės;Kintų g.;208 530 € (4 200 €/m²);8;49,65 m²;2;3;3;1957;Brick;Gas;Partially equipped;High ceiling Two-floor flat New sewage system New electrical installation Kitchen merged with room;;;;230 m;400 m;420 m;150 m;15;;A++
Vilnius;Naujoji Vilnia;Pramonės g.;"Price decreased 0,3%
37 900 € (1 723 €/m²)";141;22 m²;1;5;5;1972 construction, 2020 renovation;Block house;Electric;Fully equipped;High ceiling New sewage system New electrical installation Kitchen merged with room;Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;1 km;1,2 km;1,2 km;170 m;1;;
Vilnius;Baltupiai;Didlaukio g.;"Price decreased 3,3%
177 000 € (2 893 €/m²)";;61,19 m²;3;4;5;1978 construction, 2016 renovation;Block house;Central thermostat;Fully equipped;;;;;200 m;220 m;340 m;210 m;6;;
Vilnius;Antakalnis;Antakalnio g.;"Price decreased 3,8%
125 000 € (2 301 €/m²)";;54,32 m²;3;4;5;1965;Brick;Central;Fully equipped;;;;;160 m;440 m;30 m;250 m;"69,53 €/month
~ 1,28 €/m²";;
Vilnius;Senamiestis;Subačiaus g.;"Price decreased 2,3%
430 000 € (5 467 €/m²)";;78,66 m²;3;2;3;2006;Brick;Central thermostat;Fully equipped;;;;;290 m;190 m;340 m;190 m;23;;
Vilnius;Galgiai;Untulių g.;52 465 € (1 499 €/m²);33;35 m²;1;2;3;1997;Brick;Gas;Partially equipped;;;;;1,3 km;720 m;330 m;160 m;1;;
Vilnius;Galgiai;Untulių g.;61 459 € (1 499 €/m²);33;41 m²;2;2;3;1997;Brick;Gas;Partially equipped;;;;;1,3 km;720 m;330 m;160 m;1;;
Vilnius;Balsiai;Kaukų g.;"Price decreased 3,4%
54 600 € (1 400 €/m²)";30;39 m²;1;1;2;1992;Brick;Gas;Partially equipped;;;;;420 m;510 m;1,2 km;170 m;0;;
Vilnius;Balsiai;Kaukų g.;"Price decreased 3,4%
56 000 € (1 400 €/m²)";;40 m²;2;2;2;1992;Brick;Gas;Partially equipped;;;;;420 m;510 m;1,2 km;170 m;0;;
Vilnius;Balsiai;Kaukų g.;"Price decreased 3,4%
54 600 € (1 400 €/m²)";30;39 m²;1;1;2;1992;Brick;Gas;Partially equipped;;;;;420 m;510 m;1,2 km;170 m;0;;
Vilnius;Žirmūnai;M. Katkaus g.;205 000 € (4 271 €/m²);2C;48 m²;2;7;7;2020;Block house;Central thermostat;Fully equipped;New sewage system New electrical installation Kitchen merged with room;Balcony;Furniture Conditioner Washing machine Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Code door lock;160 m;240 m;240 m;100 m;20;;
Vilnius;Senamiestis;Sodų g.;178 000 € (3 560 €/m²);;50 m²;2;2;4;1940 construction, 2020 renovation;Brick;Aerothermal;Fully equipped;High ceiling Private yard Kitchen merged with room;Parking space;Furniture;;190 m;70 m;20 m;80 m;47;;
Vilnius;Rasos;Stepono Batoro g.;"Price decreased 5,8%
232 300 € (4 060 €/m²)";34;57,22 m²;3;2;3;2023;Monolithic;Geothermal;Partially equipped;New sewage system New electrical installation Private yard Kitchen merged with room;Balcony;Floor heating system;Steel doors;290 m;660 m;610 m;40 m;0;;A++
Vilnius;Rasos;Stepono Batoro g.;"Price decreased 3,9%
280 900 € (4 088 €/m²)";34;68,72 m²;3;3;3;2023;Monolithic;Geothermal;Partially equipped;Kitchen merged with room;Balcony;Floor heating system;Steel doors Alarm system Code door lock Video surveillance;290 m;660 m;610 m;40 m;0;;A++
Vilnius;Rasos;Stepono Batoro g.;"Price decreased 9,4%
231 900 € (3 676 €/m²)";34;63,09 m²;3;2;3;2023;Monolithic;Geothermal;Partially equipped;Private entrance High ceiling New sewage system Private yard Kitchen merged with room;Balcony Parking space;Floor heating system;Steel doors Alarm system Code door lock Video surveillance;290 m;660 m;610 m;40 m;0;;A++
Vilnius;Lazdynėliai;Lazdynėlių g.;176 000 € (3 860 €/m²);38;45,6 m²;2;3;4;2021;Brick;Central thermostat;Fully equipped;Has elevator New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Washing machine Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath Recuperation;Steel doors Code door lock Video surveillance;330 m;1,6 km;220 m;200 m;"20,06 €/month
~ 0,44 €/m²";;A
Vilnius;Antakalnis;Antakalnio g.;219 000 € (2 512 €/m²);88;87,18 m²;3;5;5;1965;Brick;Central;Fully equipped;;Balcony Cellar;;;320 m;390 m;230 m;160 m;"131,64 €/month
~ 1,51 €/m²";;
Vilnius;Rasos;Stepono Batoro g.;"Price decreased 6,4%
336 900 € (4 089 €/m²)";34;82,39 m²;4;3;3;2023;Monolithic;Geothermal;Partially equipped;High ceiling Separate bathroom and WC New sewage system New electrical installation Kitchen merged with room;Storeroom Balcony Parking space Closet;;Steel doors Code door lock;290 m;660 m;610 m;40 m;0;;A++
Vilnius;Pilaitė;I. Kanto al.;84 000 € (2 354 €/m²);14;35,68 m²;1;5;5;1992;Block house;Central;Fully equipped;New sewage system;Balcony Cellar;Conditioner Kitchen furniture Stove Bath;Code door lock;110 m;210 m;90 m;310 m;9;;
Vilnius;Žvėrynas;Sėlių g.;569 328 € (5 800 €/m²);34;98,16 m²;4;1;3;2025;Block house;Aerothermal;Partially equipped;Two-floor flat New sewage system New electrical installation Internet Kitchen merged with room;Balcony Terrace;Recuperation;Steel doors Alarm system Code door lock;210 m;380 m;260 m;110 m;4;;A
Vilnius;Šeškinė;Paberžės g.;"Price decreased 2,3%
129 000 € (1 961 €/m²)";16;65,79 m²;3;4;9;1981;Block house;Central;Fully equipped;Has elevator Separate bathroom and WC;Balcony Cellar;Dish washer Bath;Steel doors;90 m;260 m;330 m;130 m;9;;
Vilnius;Naujamiestis;Kauno g.;75 000 € (4 412 €/m²);30;17 m²;2;3;4;1955 construction, 2016 renovation;Brick;Electric;Fully equipped;High ceiling Two-floor flat New sewage system Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors;460 m;270 m;110 m;70 m;13;;
Vilnius;Paupys;Paupio g.;179 900 € (6 098 €/m²);50;29,5 m²;2;2;4;2021;Brick;Central thermostat;Fully equipped;;;;;500 m;410 m;210 m;100 m;"19,18 €/month
~ 0,65 €/m²";;
Vilnius;Žirmūnai;Riterių g.;"Price decreased 2,3%
169 000 € (4 171 €/m²)";10;40,52 m²;2;4;8;2023;Block house;Central thermostat;Fully equipped;Has elevator;;;;310 m;560 m;480 m;110 m;6;127;
Vilnius;Naujamiestis;Savanorių pr.;"Price decreased 1,4%
138 000 € (3 067 €/m²)";23;45 m²;3;4;5;1962;Block house;Central;Fully equipped;;;;;290 m;260 m;120 m;110 m;"44,10 €/month
~ 0,98 €/m²";;
Vilnius;Žvėrynas;Stirnų g.;234 000 € (5 028 €/m²);;46,54 m²;2;2;5;2018;Brick;Central;Fully equipped;;;;;190 m;430 m;390 m;300 m;"17,69 €/month
~ 0,38 €/m²";;A+
Vilnius;Lazdynai;Architektų g.;150 000 € (2 350 €/m²);;63,82 m²;3;1;9;1969;Block house;Central;Fully equipped;;;;;180 m;200 m;220 m;80 m;"74,67 €/month
~ 1,17 €/m²";;
Vilnius;Žemieji Paneriai;Savanorių pr.;72 000 € (2 152 €/m²);;33,46 m²;2;4;5;1976;Brick;Central;Fully equipped;Kitchen merged with room;Cellar Closet;Furniture Washing machine;Code door lock;1,6 km;530 m;110 m;60 m;"37,48 €/month
~ 1,12 €/m²";;
Vilnius;Senamiestis;Pamėnkalnio g.;107 000 € (823 €/m²);24;130 m²;5;5;5;1940;Brick;Other;Not equipped;;;;;180 m;350 m;220 m;100 m;25;;
Vilnius;Šnipiškės;Giedraičių g.;139 000 € (977 €/m²);;142,24 m²;4;1;5;1972;Brick;Central;Fully equipped;Private entrance;Sauna;Furniture Kitchen furniture Shower;Steel doors;310 m;310 m;10 m;300 m;"169,27 €/month
~ 1,19 €/m²";;
Vilnius;Šiaurės miestelis;Žygio g.;"Price decreased 2,4%
165 000 € (2 981 €/m²)";92;55,35 m²;2;4;9;2009;Brick;Central thermostat;Fully equipped;New sewage system Internet;Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;110 m;440 m;80 m;190 m;"44,28 €/month
~ 0,80 €/m²";;
Vilnius;Paupys;Aukštaičių g.;385 000 € (6 204 €/m²);8;62,06 m²;3;1;3;2020;Brick;Central thermostat;Fully equipped;New electrical installation Internet Kitchen merged with room;Terrace;Washing machine Furniture Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance;210 m;340 m;220 m;130 m;"39,10 €/month
~ 0,63 €/m²";;A
Vilnius;Šnipiškės;Utenos g.;78 000 € (2 436 €/m²);33;32,02 m²;2;2;2;1940 construction, 2010 renovation;Block house;Electric, solid fuel;Fully equipped;High ceiling;Storeroom Parking space Attic;;;280 m;570 m;440 m;270 m;10;;
Vilnius;Naujamiestis;Algirdo g.;105 728 € (800 €/m²);69;132,16 m²;1;3;3;1940;Brick;Other;Not equipped;;;;;670 m;540 m;250 m;230 m;14;;
Vilnius;Fabijoniškės;S. Stanevičiaus g.;187 000 € (2 304 €/m²);34;81,15 m²;4;8;11;1992;Monolithic;Central;Fully equipped;Internet Cable television Kitchen merged with room;Storeroom Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Code door lock;150 m;240 m;130 m;60 m;8;;
Vilnius;Šnipiškės;Šatrijos g.;205 000 € (4 236 €/m²);;48,39 m²;2;6;6;2023;Brick;Central thermostat;Partially equipped;Private yard High ceiling New sewage system Kitchen merged with room;Balcony Storeroom;;Steel doors Video surveillance Code door lock;140 m;350 m;370 m;90 m;9;;
Vilnius;Santariškės;Mykolo Marcinkevičiaus g.;239 900 € (2 499 €/m²);;96 m²;4;4;6;2000;Brick;Central thermostat;Fully equipped;;;;;610 m;630 m;400 m;180 m;2;;
Vilnius;Viršuliškės;Viršuliškių g.;"Price decreased 1,1%
131 000 € (2 519 €/m²)";43;52 m²;2;1;12;1978;Block house;Central;Fully equipped;;;;;190 m;500 m;190 m;280 m;"64,48 €/month
~ 1,24 €/m²";;
Vilnius;Naujamiestis;Mindaugo g.;"Price decreased 3,7%
259 900 € (5 198 €/m²)";22;50 m²;2;2;3;1945;Brick;Electric;Fully equipped;High ceiling New sewage system New electrical installation Internet Kitchen merged with room;Storeroom Balcony Cellar;Washing machine Refrigerator Kitchen furniture Stove Dish washer Shower;Code door lock;110 m;120 m;200 m;400 m;32;;
Vilnius;Justiniškės;Rygos g.;175 000 € (2 197 €/m²);54;79,64 m²;3;4;8;2023;Brick;Central thermostat;Fully equipped;New sewage system New electrical installation Kitchen merged with room;Balcony;Bath;Steel doors Code door lock;180 m;360 m;110 m;210 m;9;;
Vilnius;Pilaitė;Priegliaus g.;"Price decreased 1,5%
196 900 € (2 542 €/m²)";;77,47 m²;3;4;6;2008;Brick;Central thermostat;Fully equipped;Internet Cable television;Storeroom Balcony Terrace Parking space;;Steel doors;180 m;180 m;210 m;310 m;"60,43 €/month
~ 0,78 €/m²";;
Vilnius;Žvėrynas;Lapių g.;249 000 € (5 413 €/m²);;46 m²;2;3;4;2023;Brick;Central thermostat;Fully equipped;Internet New sewage system New electrical installation Kitchen merged with room;;Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Recuperation;Steel doors Alarm system Video surveillance Code door lock;90 m;250 m;100 m;110 m;3;;A+
Vilnius;Pašilaičiai;Perkūnkiemio g.;135 000 € (3 786 €/m²);;35,66 m²;2;1;12;2023;Block house;Central;Fully equipped;Has elevator Kitchen merged with room;Terrace;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;210 m;840 m;140 m;130 m;"19,97 €/month
~ 0,56 €/m²";;
Vilnius;Šeškinė;Gelvonų g.;107 000 € (2 098 €/m²);;51 m²;2;5;9;1981;Block house;Central;Fully equipped;Internet Separate bathroom and WC Cable television;Balcony Cellar Closet;Furniture Washing machine Bath;Steel doors Code door lock;70 m;140 m;110 m;130 m;7;;
Vilnius;Senamiestis;M. Valančiaus g.;380 000 € (3 725 €/m²);4;102 m²;4;4;4;1962;Brick;Central thermostat;Fully equipped;;;;;100 m;310 m;530 m;250 m;10;;
Vilnius;Pilaitė;Trakėnų g.;"Price decreased 2,1%
230 000 € (2 371 €/m²)";23;97 m²;3;2;3;2015;Brick;Central thermostat;Fully equipped;Kitchen merged with room;Balcony Cellar Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Shower;Steel doors Code door lock;620 m;440 m;750 m;140 m;"78,57 €/month
~ 0,81 €/m²";;
