city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Flat No.;Building Energy Efficiency Class
Vilnius;Šnipiškės;Kalvarijų g.;"Price decreased 4,3%
90 000 € (2 195 €/m²)";200;41,01 m²;2;6;12;1985;Brick;Central;Fully equipped;New sewage system Internet Cable television Kitchen merged with room;Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;120 m;230 m;260 m;220 m;"63,98 €/month
~ 1,56 €/m²";;
Vilnius;Šnipiškės;Šilutės g.;75 000 € (2 108 €/m²);29;35,58 m²;2;1;2;1940;Wooden house;Electric;Fully equipped;New sewage system;Terrace;Stove Shower;Steel doors;330 m;530 m;300 m;220 m;16;;
Vilnius;Žirmūnai;Tuskulėnų g.;179 000 € (2 657 €/m²);54;67,38 m²;3;5;12;1979;Brick;Central thermostat;Fully equipped;;Balcony;Washing machine Furniture Kitchen furniture Bath;Steel doors Code door lock;340 m;220 m;90 m;170 m;"71,42 €/month
~ 1,06 €/m²";;
Vilnius;Naujamiestis;M. K. Čiurlionio g.;1 590 000 € (6 490 €/m²);;245 m²;5;5;6;2013;Brick;Central thermostat;Fully equipped;Two-floor flat New electrical installation Cable television;Storeroom Balcony Terrace Sauna Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath Recuperation;Steel doors Alarm system Code door lock;270 m;310 m;70 m;470 m;10;;
Vilnius;Žirmūnai;Minties g.;155 000 € (2 436 €/m²);;63,64 m²;3;2;9;1968;Block house;Central;Fully equipped;;;;;260 m;460 m;120 m;30 m;25;;
Vilnius;Paneriai;Baltosios Vokės g.;70 000 € (918 €/m²);33;76,26 m²;4;1;2;1967;Brick;Solid fuel;Fully equipped;Private entrance Two-floor flat Private yard;Storeroom Cellar Parking space;Furniture Refrigerator Kitchen furniture Stove;;1,3 km;1 km;1,4 km;640 m;0;;
Vilnius;Baltupiai;Pušyno kel.;385 000 € (4 375 €/m²);2;88 m²;4;1;3;2016;Brick;Central;Fully equipped;Private yard Kitchen merged with room;Storeroom Terrace Parking space Closet;Conditioner Furniture Floor heating system Kitchen furniture Shower Bath;;500 m;560 m;780 m;80 m;4;;
Vilnius;Justiniškės;Sidaronių g.;220 000 € (3 854 €/m²);41;57,09 m²;3;1;2;2022;Brick;Aerothermal;Partially equipped;;;;;680 m;670 m;820 m;110 m;0;;
Vilnius;Justiniškės;Rygos g.;132 000 € (1 630 €/m²);33;81 m²;4;7;9;1984;Block house;Central;Fully equipped;Separate bathroom and WC;Storeroom Balcony Cellar;Furniture Refrigerator Kitchen furniture Stove Bath;Code door lock;170 m;400 m;40 m;150 m;15;;
Vilnius;Žemieji Paneriai;Savanorių pr.;75 000 € (2 233 €/m²);;33,59 m²;1;4;5;1976;Brick;Central;Fully equipped;;;Furniture Washing machine;Steel doors Code door lock;1,6 km;570 m;170 m;90 m;"36,95 €/month
~ 1,10 €/m²";;
Vilnius;Naujininkai;Šaltkalvių g.;"Price decreased 3,2%
92 000 € (1 879 €/m²)";48;48,95 m²;2;3;5;1968;Brick;Central;Fully equipped;;;;;200 m;110 m;250 m;300 m;"55,31 €/month
~ 1,13 €/m²";;
Vilnius;Naujamiestis;S. Konarskio g.;242 000 € (4 792 €/m²);30C;50,5 m²;2;2;4;2024;Brick;Central thermostat;Fully equipped;Private yard Kitchen merged with room;Balcony;Conditioner Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock;410 m;110 m;170 m;180 m;20;;
Vilnius;Lazdynėliai;Žaibo g.;165 000 € (3 587 €/m²);7;46 m²;2;3;4;2022;Brick;Central thermostat;Fully equipped;Has elevator New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;140 m;1,8 km;390 m;360 m;"21,16 €/month
~ 0,46 €/m²";;A
Vilnius;Užupis;Užupio g.;199 700 € (3 875 €/m²);;51,54 m²;2;1;3;1910;Brick;Gas;Fully equipped;New sewage system New electrical installation Private yard Internet Cable television;Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath Recuperation;Steel doors Code door lock;180 m;310 m;70 m;50 m;18;;
Vilnius;Šnipiškės;Krokuvos g.;279 500 € (3 446 €/m²);;81,1 m²;4;6;9;1999;Brick;Central thermostat;Fully equipped;Internet New electrical installation Kitchen merged with room;Balcony Parking space;Washing machine Refrigerator Kitchen furniture Stove Dish washer Shower;Code door lock;40 m;460 m;220 m;260 m;24;;
Vilnius;Jeruzalė;Kazio Borutos g.;118 750 € (3 038 €/m²);;39,09 m²;2;4;5;2001;Brick;Gas;Fully equipped;Internet New sewage system New electrical installation Kitchen merged with room;Balcony Parking space;Furniture Washing machine Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;430 m;810 m;410 m;110 m;6;;
Vilnius;Šnipiškės;Giedraičių g.;130 000 € (1 998 €/m²);;65,05 m²;3;1;2;1960;Wooden house;Central;Not equipped;;;;;130 m;410 m;250 m;230 m;19;;
Vilnius;Naujininkai;Pelesos g.;33 000 € (2 021 €/m²);;16,33 m²;1;3;5;1964;Brick;Central;Fully equipped;;;;;100 m;470 m;240 m;170 m;"23,68 €/month
~ 1,45 €/m²";;
Vilnius;Naujamiestis;Naugarduko g.;185 000 € (4 442 €/m²);62;41,65 m²;2;1;7;2021;Block house;Central thermostat;Fully equipped;;;;;240 m;100 m;340 m;130 m;"5,41 €/month
~ 0,13 €/m²";;A+
Vilnius;Pilaitė;Gilužio g.;160 000 € (2 614 €/m²);;61,21 m²;3;4;6;2006;Brick;Central thermostat;Fully equipped;;;;;60 m;140 m;370 m;70 m;3;;
Vilnius;Pilaitė;Simono Grunau g.;120 000 € (3 458 €/m²);;34,7 m²;1;1;3;2019;Brick;Gas;Fully equipped;;;;;1,1 km;1,4 km;140 m;130 m;1;;
Vilnius;Žvėrynas;Pušų g.;180 000 € (1 892 €/m²);;95,12 m²;2;1;3;1957;Brick;Other;Fully equipped;;;;;330 m;430 m;330 m;270 m;"102,73 €/month
~ 1,08 €/m²";;
Vilnius;Žirmūnai;Minties g.;133 000 € (2 794 €/m²);6;47,6 m²;2;1;5;1966 construction, 2011 renovation;Block house;Central;Fully equipped;;Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;90 m;170 m;540 m;120 m;6;;
Vilnius;Antakalnis;Filaretų g.;170 000 € (2 126 €/m²);;79,97 m²;3;1;3;1994;Brick;Gas;Fully equipped;;;;;520 m;990 m;1,2 km;740 m;0;;
Vilnius;Žirmūnai;Žirmūnų g.;70 000 € (2 333 €/m²);9;30 m²;1;7;9;1967 construction, 2025 renovation;Block house;Central thermostat;Fully equipped;Has elevator;;;;140 m;400 m;280 m;140 m;"38,10 €/month
~ 1,27 €/m²";;
Vilnius;Pašilaičiai;Dociškių g.;134 900 € (2 680 €/m²);;50,34 m²;2;3;5;2016;Brick;Central thermostat;Fully equipped;;;;;430 m;460 m;200 m;250 m;"29,70 €/month
~ 0,59 €/m²";;
Vilnius;Naujamiestis;Švitrigailos g.;220 000 € (4 617 €/m²);1;47,65 m²;2;3;6;2018;Brick;Central thermostat;Fully equipped;Has elevator New sewage system Private yard Internet Cable television Kitchen merged with room;Balcony;Conditioner Washing machine Furniture Kitchen furniture Recuperation;Steel doors Code door lock Video surveillance;260 m;370 m;200 m;10 m;"18,11 €/month
~ 0,38 €/m²";54;
Vilnius;Naujamiestis;Eigulių g.;389 000 € (5 557 €/m²);7;70 m²;3;5;7;2023;Brick;Central thermostat;Fully equipped;New sewage system New electrical installation Kitchen merged with room;Balcony;Furniture Conditioner Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Video surveillance Code door lock;810 m;710 m;490 m;420 m;2;;A+
Vilnius;Žvėrynas;Pušų g.;110 000 € (3 438 €/m²);9;32 m²;1;2;2;1940;Wooden house;Gas;Fully equipped;;;;;70 m;340 m;310 m;70 m;5;;
Vilnius;Naujamiestis;Šaltinių g.;220 000 € (2 823 €/m²);;77,92 m²;3;1;5;1976;Block house;Central;Partially equipped;;;;;230 m;130 m;170 m;290 m;"130,91 €/month
~ 1,68 €/m²";;
Vilnius;Pašilaičiai;Girulių g.;"Price decreased 0,6%
159 000 € (2 484 €/m²)";7;64 m²;3;1;9;2008;Block house;Central thermostat;Fully equipped;Kitchen merged with room;Balcony;Furniture Washing machine Kitchen furniture Stove;Steel doors Alarm system Code door lock;80 m;920 m;170 m;150 m;"36,48 €/month
~ 0,57 €/m²";;
