city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Unique item number (RC number);Object
Vilnius;Šnipiškės;Šatrijos g.;"Price decreased 2,3%
219 900 € (4 998 €/m²)";16;;44 m²;2;2;6;2023;Brick;Central;Fully equipped;A++;Internet High ceiling New sewage system New electrical installation Kitchen merged with room;Balcony;Furniture Washing machine Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Recuperation;Steel doors Video surveillance Code door lock;200 m;280 m;400 m;150 m;11;;
Vilnius;Žirmūnai;Minties g.;111 800 € (2 422 €/m²);;;46,16 m²;2;5;5;1967;Block house;Central;Fully equipped;;;Balcony Cellar Closet;Furniture Washing machine;Steel doors Code door lock;130 m;340 m;180 m;100 m;"59,08 €/month
~ 1,28 €/m²";;
Vilnius;Šeškinė;Buivydiškių g.;96 000 € (2 885 €/m²);36;;33,27 m²;2;3;5;1986 construction, 2023 renovation;Block house;Central;Fully equipped;;Has elevator High ceiling Two-floor flat New sewage system New electrical installation;;Furniture Refrigerator Stove Plastic pipes Dish washer;Steel doors;220 m;350 m;250 m;90 m;6;;
Vilnius;Naujoji Vilnia;Pramonės g.;38 500 € (1 833 €/m²);141;;21 m²;1;3;5;1981 construction, 2020 renovation;Block house;Electric;Fully equipped;;;;;;1 km;1,2 km;1,2 km;170 m;1;;
Vilnius;Burbiškės;Burbiškių g.;"Price decreased 5,4%
175 000 € (4 375 €/m²)";6;;40 m²;1;2;4;2022;Block house;Electric;Fully equipped;;;;;;720 m;640 m;740 m;960 m;1;;
Vilnius;Pilaitė;Tilžės g.;192 855 € (1 950 €/m²);;;98,9 m²;4;1;2;2022;Brick;Gas;Partially equipped;;;;;;470 m;470 m;720 m;640 m;4;;
Vilnius;Šeškinė;Buivydiškių g.;82 000 € (2 359 €/m²);6;;34,76 m²;1;6;9;1986;Brick;Central;Fully equipped;;Has elevator;;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Code door lock;430 m;370 m;260 m;130 m;"53,88 €/month
~ 1,55 €/m²";;
Vilnius;Senamiestis;Pamėnkalnio g.;441 000 € (5 250 €/m²);4;;84 m²;3;3;3;1940;Brick;Central;Fully equipped;;High ceiling Flat in an attic New sewage system New electrical installation Private yard Internet;Cellar Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Fireplace Plastic pipes Dish washer Shower;Steel doors;180 m;330 m;220 m;80 m;"161,28 €/month
~ 1,92 €/m²";;
Vilnius;Pilaitė;Gilužio g.;"Price decreased 3,8%
128 000 € (3 526 €/m²)";37;;36,3 m²;1;3;3;2019;Brick;Gas;Fully equipped;A+;Internet;Balcony;Washing machine Floor heating system Stove;Steel doors Video surveillance;640 m;570 m;530 m;530 m;0;;
Vilnius;Šnipiškės;Kalvarijų g.;246 514 € (4 600 €/m²);55;;53,59 m²;3;5;7;2024;Brick;Central thermostat;Partially equipped;A++;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Balcony Parking space;Floor heating system Plastic pipes Bath Recuperation;Steel doors Code door lock Video surveillance;120 m;400 m;40 m;90 m;20;;
Vilnius;Pilaitė;M. Mažvydo g.;199 900 € (2 437 €/m²);;;82,04 m²;3;3;6;2007;Brick;Central thermostat;Fully equipped;;Separate bathroom and WC Kitchen merged with room;Balcony;Furniture Washing machine Bath;Steel doors Code door lock;360 m;360 m;280 m;180 m;8;;
Vilnius;Žirmūnai;Tuskulėnų g.;175 600 € (4 050 €/m²);3A;;43,36 m²;2;1;4;2022;Brick;Central thermostat;Partially equipped;A+;Two-floor flat;Terrace Parking space;;Steel doors Code door lock;230 m;250 m;140 m;50 m;23;;
Vilnius;Žirmūnai;Tuskulėnų g.;262 000 € (3 485 €/m²);3A;;75,17 m²;3;1;4;2022;Brick;Central thermostat;Partially equipped;A+;Two-floor flat;Terrace Parking space;;Steel doors Code door lock;230 m;250 m;140 m;50 m;23;;
Vilnius;Lazdynėliai;Lazdynėlių g.;119 900 € (2 656 €/m²);67;;45,15 m²;2;1;4;2022;Brick;Central thermostat;Partially equipped;;;;;;270 m;1,7 km;380 m;370 m;0;;
Vilnius;Fabijoniškės;Vėtrungių g.;110 000 € (2 500 €/m²);;;44 m²;1;3;12;2006;Block house;Gas;Fully equipped;;;;;;630 m;700 m;160 m;50 m;10;;
Vilnius;Žirmūnai;Žirmūnų g.;123 900 € (2 813 €/m²);18;;44,05 m²;2;3;5;1965;Block house;Central;Fully equipped;;New electrical installation Internet Cable television;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;150 m;260 m;240 m;170 m;"38,76 €/month
~ 0,88 €/m²";;
Vilnius;Tarandė;V. Smakausko g.;209 000 € (2 247 €/m²);31;;93 m²;4;1;2;2018;Brick;Gas;Fully equipped;;Internet High ceiling Two-floor flat Kitchen merged with room Cable television;Terrace Cellar Closet;Fireplace Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Bath;Steel doors Alarm system Code door lock;420 m;1,5 km;790 m;440 m;0;;
Vilnius;Karoliniškės;Sausio 13-osios g.;215 000 € (3 555 €/m²);2;;60,48 m²;3;3;7;2015;Brick;Central thermostat;Fully equipped;;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors;500 m;170 m;80 m;270 m;19;;
Vilnius;Saulėtekis;Saulėtekio al.;480 000 € (4 086 €/m²);54;;117,48 m²;5;1;2;1998;Brick;Electric, gas;Fully equipped;;Private entrance Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television;Storeroom Balcony Terrace Sauna Parking space Attic Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Fireplace Dish washer Shower Bath;Alarm system Code door lock Video surveillance;1,6 km;560 m;370 m;440 m;3;;
