city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Unique item number (RC number);Object
Vilnius;Senamiestis;Sodų g.;168 000 € (3 988 €/m²);11;;42,13 m²;1;1;3;1940;Brick;Gas;Fully equipped;;;;;;110 m;150 m;100 m;150 m;54;;
Vilnius;Naujoji Vilnia;Pramonės g.;"Price decreased 0,5%
43 700 € (1 561 €/m²)";107;;28 m²;1;4;4;1970;Brick;Electric;Fully equipped;;New sewage system New electrical installation Internet Kitchen merged with room;;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock Video surveillance;480 m;640 m;780 m;250 m;1;;Accommodation, recreation purpose
Vilnius;Karoliniškės;Loretos Asanavičiūtės g.;"Price decreased 5,4%
87 000 € (1 790 €/m²)";44;;48,6 m²;2;8;12;1975;Block house;Central;Fully equipped;;;;;;340 m;240 m;120 m;80 m;17;;
Vilnius;Naujamiestis;Vandentiekio g.;"Price decreased 1%
98 000 € (2 370 €/m²)";40;;41,35 m²;2;4;4;1961;Brick;Central;Fully equipped;G;New sewage system New electrical installation;Storeroom Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;180 m;110 m;490 m;270 m;"50,03 €/month
~ 1,21 €/m²";;
Vilnius;Naujamiestis;Naugarduko g.;"Price decreased 2,6%
302 000 € (4 794 €/m²)";62;;63 m²;3;7;7;2021;Monolithic;Central;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath Recuperation;Steel doors Code door lock;240 m;100 m;340 m;130 m;"8,19 €/month
~ 0,13 €/m²";;
Vilnius;Pilaitė;Tolminkiemio g.;136 000 € (4 168 €/m²);19A;13;32,63 m²;2;4;4;2023;Brick;Central thermostat, aerothermal;Fully equipped;A+;High ceiling Private yard;;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock Video surveillance;180 m;210 m;230 m;210 m;10;;
Vilnius;Jeruzalė;Rugių g.;155 000 € (3 444 €/m²);;;45 m²;2;1;6;2000;Brick;Gas;Fully equipped;;Separate bathroom and WC Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;370 m;230 m;130 m;190 m;7;;
Vilnius;Pašilaičiai;Perkūnkiemio g.;163 000 € (2 433 €/m²);53;;67 m²;3;8;12;2008;Block house;Central thermostat;Fully equipped;;Separate bathroom and WC Internet Cable television Kitchen merged with room;Storeroom Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;260 m;950 m;200 m;220 m;"37,52 €/month
~ 0,56 €/m²";;
Vilnius;Bajorai;Jono Kairiūkščio g.;"Price decreased 2,9%
170 000 € (2 889 €/m²)";;;58,84 m²;3;2;5;1979 construction, 2022 renovation;Brick;Central thermostat;Fully equipped;;;;;;250 m;1,5 km;340 m;160 m;0;;
Vilnius;Markučiai;Manufaktūrų g.;"Price increased 3,1%
197 000 € (5 465 €/m²)";7;;36,05 m²;2;2;5;2023;Brick;Central thermostat;Fully equipped;A+;Has elevator Private yard Internet Kitchen merged with room;Storeroom Balcony;Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;;290 m;610 m;130 m;310 m;4;;
Vilnius;Jeruzalė;Rugių g.;170 000 € (2 791 €/m²);;;60,91 m²;2;4;5;2000;Brick;Gas;Fully equipped;;;;;;350 m;270 m;170 m;220 m;7;;
Vilnius;Baltupiai;Kalvarijų g.;"Price decreased 0,6%
158 000 € (2 791 €/m²)";;;56,62 m²;2;8;14;2007;Brick;Central thermostat;Fully equipped;B;Private yard Internet;Balcony Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;520 m;510 m;710 m;70 m;3;;
Vilnius;Naujoji Vilnia;Genių g.;64 500 € (1 933 €/m²);13A;;33,36 m²;2;3;5;1970 construction, 2024 renovation;Brick;Central thermostat;Partially equipped;;New sewage system New electrical installation Internet Kitchen merged with room;;;Steel doors Code door lock Video surveillance;280 m;240 m;130 m;170 m;11;;
Vilnius;Naujoji Vilnia;Genių g.;48 500 € (2 077 €/m²);13A;;23,35 m²;1;3;5;1970 construction, 2024 renovation;Brick;Central thermostat;Partially equipped;;New sewage system New electrical installation Internet Kitchen merged with room;;;Steel doors Code door lock Video surveillance;280 m;240 m;130 m;170 m;11;;
Vilnius;Užupis;Krivių g.;340 000 € (4 250 €/m²);5;;80 m²;3;1;5;2005;Brick;Central thermostat;Fully equipped;;;Parking space;;Steel doors Code door lock Video surveillance;220 m;140 m;390 m;90 m;"51,20 €/month
~ 0,64 €/m²";;
Vilnius;Pašilaičiai;Perkūnkiemio g.;"Price decreased 0,5%
97 500 € (2 910 €/m²)
(interested in changing)";49;;33,5 m²;1;5;12;2023;Monolithic;Central thermostat;Fully equipped;;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Storeroom Balcony Cellar Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes;Steel doors Code door lock Video surveillance;210 m;840 m;140 m;130 m;"18,76 €/month
~ 0,56 €/m²";;
Vilnius;Naujamiestis;M. Valančiaus g.;"Price increased 16,6%
463 000 € (7 349 €/m²)";7;;63 m²;3;2;6;2009;Monolithic;Central thermostat;Fully equipped;B;;Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath;Steel doors Alarm system Code door lock Video surveillance Guard;170 m;350 m;470 m;320 m;8;;
Vilnius;Pašilaičiai;Perkūnkiemio g.;149 500 € (3 646 €/m²);11;;41 m²;2;4;9;2008;Block house;Central thermostat;Fully equipped;;Kitchen merged with room;Balcony Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Alarm system Code door lock Video surveillance;90 m;830 m;390 m;120 m;"20,91 €/month
~ 0,51 €/m²";;
Vilnius;Pilaitė;Bitėnų g.;"Price decreased 2,6%
185 000 € (3 700 €/m²)";3E;;50 m²;2;1;5;2018;Brick;Central thermostat;Fully equipped;;High ceiling Internet Cable television Kitchen merged with room;Terrace Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;;220 m;190 m;240 m;160 m;"26,50 €/month
~ 0,53 €/m²";;
Vilnius;Pašilaičiai;Eitminų g.;145 000 € (2 512 €/m²);12;;57,73 m²;3;4;9;2015;Brick;Central, electric, central thermostat;Fully equipped;;Has elevator Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath;Steel doors Video surveillance;70 m;910 m;430 m;170 m;"31,17 €/month
~ 0,54 €/m²";;
Vilnius;Žvėrynas;Erelių g.;260 000 € (3 379 €/m²);4;;76,95 m²;4;5;5;1992;Brick;Central;Fully equipped;;;;;;220 m;420 m;260 m;180 m;"97,73 €/month
~ 1,27 €/m²";;
Vilnius;Senamiestis;Gedimino pr.;1 435 000 € (6 989 €/m²);3A;6a;205,32 m²;6;3;3;1890;Brick;Central, electric;Fully equipped;;High ceiling New sewage system New electrical installation Private yard Internet;Balcony;Conditioner Recuperation;Steel doors Alarm system;300 m;180 m;130 m;150 m;"301,82 €/month
~ 1,47 €/m²";;
Vilnius;Šeškinė;Buivydiškių g.;98 500 € (2 718 €/m²);12;;36,24 m²;1;9;12;1987 construction, 2024 renovation;Brick;Central;Fully equipped;;;;;;460 m;380 m;240 m;260 m;"27,90 €/month
~ 0,77 €/m²";;
Vilnius;Naujoji Vilnia;Genių g.;130 000 € (3 294 €/m²);10;;39,46 m²;2;4;4;2017;Brick;Central;Fully equipped;;Private yard Internet;Balcony Cellar Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock Video surveillance;120 m;120 m;40 m;300 m;"22,49 €/month
~ 0,57 €/m²";;
Vilnius;Karoliniškės;Virginijaus Druskio g.;95 000 € (2 941 €/m²);10;;32,3 m²;1;8;9;1974;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;100 m;150 m;320 m;250 m;3;;
Vilnius;Viršuliškės;Viršuliškių g.;"177 000 € (2 768 €/m²)
(interested in changing)";;;63,94 m²;4;7;9;1977;Block house;Central, electric;Fully equipped;;Private entrance New sewage system New electrical installation Internet Kitchen merged with room;Storeroom Balcony Cellar;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;160 m;270 m;210 m;180 m;"76,09 €/month
~ 1,19 €/m²";;
Vilnius;Verkiai;Verkių g.;798 000 € (5 978 €/m²);;;133,48 m²;4;4;4;2007;Brick;Electric, central thermostat;Fully equipped;;;;;;610 m;560 m;600 m;460 m;"109,45 €/month
~ 0,82 €/m²";;
Vilnius;Antakalnis;Žolyno g.;59 855 € (2 344 €/m²);;;25,53 m²;1;4;5;1976;Brick;Central;Fully equipped;;Private entrance New sewage system New electrical installation Internet Cable television;Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock;390 m;560 m;260 m;100 m;"24,51 €/month
~ 0,96 €/m²";;
Vilnius;Verkiai;Verkių g.;"Price decreased 0,9%
289 999 € (4 462 €/m²)";68C;4A;65 m²;3;2;4;2007;Brick;Central thermostat;Fully equipped;B;High ceiling Internet;Storeroom Balcony Terrace Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock Guard;560 m;500 m;560 m;430 m;"45,50 €/month
~ 0,70 €/m²";;
Vilnius;Baltupiai;Didlaukio g.;90 300 € (3 272 €/m²);53;;27,6 m²;1;3;5;2025;Block house;Central thermostat;Partially equipped;A++;New sewage system New electrical installation Private yard;Storeroom Balcony Parking space;Floor heating system;Steel doors Code door lock Video surveillance;230 m;460 m;450 m;450 m;6;;
Vilnius;Antakalnis;P. Vileišio g.;434 700 € (4 922 €/m²);27A;;88,31 m²;4;5;5;2024;Brick;Central thermostat;Partially equipped;A++;New sewage system New electrical installation;Storeroom Balcony Parking space;Floor heating system;Steel doors Code door lock Video surveillance;290 m;330 m;280 m;190 m;13;;
Vilnius;Lazdynai;Architektų g.;"Price increased 6,6%
162 000 € (2 077 €/m²)";87;;78 m²;4;1;5;1972;Block house;Central;Fully equipped;;;;;;400 m;70 m;130 m;80 m;"79,56 €/month
~ 1,02 €/m²";;
Vilnius;Šnipiškės;Linkmenų g.;"Price increased 0,7%
141 000 € (5 036 €/m²)";19;27;28 m²;1;4;6;2022;Monolithic;Central thermostat;Fully equipped;;;;;;120 m;520 m;210 m;160 m;11;;
Vilnius;Žvėrynas;Studentų g.;"Price decreased 4,9%
155 000 € (4 306 €/m²)";45;;36 m²;2;1;5;1966 construction, 2022 renovation;Brick;Central, electric;Fully equipped;;New sewage system;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors;330 m;120 m;390 m;180 m;"31,32 €/month
~ 0,87 €/m²";;
Vilnius;Senamiestis;Gedimino pr.;354 000 € (9 440 €/m²);22;;37,5 m²;2;6;6;2023;Brick;Central;Fully equipped;;High ceiling New sewage system New electrical installation Private yard Kitchen merged with room;;Conditioner Washing machine Furniture Refrigerator Floor heating system Stove Dish washer Shower;Steel doors Code door lock;150 m;150 m;120 m;160 m;"27,38 €/month
~ 0,73 €/m²";;
Vilnius;Naujoji Vilnia;Linksmoji g.;"Price decreased 7,5%
165 500 € (1 860 €/m²)";36;;89 m²;3;5;5;1989;Brick;Central;Fully equipped;;;;;;690 m;300 m;220 m;200 m;"92,56 €/month
~ 1,04 €/m²";;
Vilnius;Lazdynai;Žėručio g.;"Price decreased 1,2%
163 000 € (2 090 €/m²)";13;;78 m²;4;2;5;1969;Block house;Central;Fully equipped;;Separate bathroom and WC;Storeroom Balcony Cellar Parking space;;;130 m;70 m;350 m;190 m;"39,78 €/month
~ 0,51 €/m²";;
Vilnius;Karoliniškės;Loretos Asanavičiūtės g.;"Price increased 20%
150 000 € (4 630 €/m²)";16;8;32,4 m²;2;2;12;1979;Block house;Central;Partially equipped;;;;;;260 m;370 m;130 m;110 m;5;;
Vilnius;Žirmūnai;Kareivių g.;"Price decreased 10,5%
42 500 € (3 269 €/m²)";11;;13 m²;1;2;5;1986;Block house;Central;Fully equipped;;;;;;260 m;600 m;70 m;210 m;"13,91 €/month
~ 1,07 €/m²";;
Vilnius;Justiniškės;Mozūriškių g.;172 000 € (2 255 €/m²);17;31;76,29 m²;3;2;4;2014;Brick;Central;Fully equipped;;New electrical installation Kitchen merged with room;Balcony;Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;510 m;740 m;290 m;230 m;8;;
Vilnius;Šnipiškės;Raitininkų g.;278 000 € (5 650 €/m²);4;;49,2 m²;2;2;7;2020;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;520 m;420 m;250 m;180 m;"27,06 €/month
~ 0,55 €/m²";;
Vilnius;Jeruzalė;Bitininkų g.;165 000 € (2 973 €/m²);26;;55,5 m²;3;1;5;1991;Brick;Central;Fully equipped;;Kitchen merged with room;Balcony Cellar Closet;Furniture;Steel doors Code door lock;690 m;190 m;350 m;380 m;6;;
Vilnius;Pilaitė;Karaliaučiaus g.;"Price decreased 2%
194 000 € (2 970 €/m²)";9A;;65,32 m²;3;4;9;2019;Monolithic;Central thermostat;Fully equipped;;Has elevator;;Conditioner Furniture;;180 m;410 m;140 m;120 m;"20,90 €/month
~ 0,32 €/m²";;
Vilnius;Naujamiestis;Gerosios Vilties g.;92 300 € (2 008 €/m²);8;;45,96 m²;2;5;5;1962;Block house;Central;Fully equipped;;;;;;350 m;130 m;310 m;160 m;22;;
Vilnius;Viršuliškės;Viršuliškių g.;"Price decreased 1,1%
182 500 € (4 244 €/m²)";38B;18;43 m²;2;5;11;2022;Block house;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Terrace Parking space Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;360 m;500 m;160 m;90 m;17;;
Vilnius;Senamiestis;Gedimino pr.;830 000 € (5 804 €/m²);;;143 m²;3;5;5;1920 construction, 2023 renovation;Brick;Central thermostat;Fully equipped;;High ceiling New sewage system New electrical installation Private yard Internet Kitchen merged with room;Balcony Parking space;Kitchen furniture;Steel doors Alarm system Code door lock Video surveillance Guard;150 m;150 m;120 m;160 m;"104,39 €/month
~ 0,73 €/m²";;
Vilnius;Lazdynėliai;Žaibo g.;"Price decreased 2,4%
155 000 € (3 566 €/m²)";1;;43,47 m²;2;1;4;2022;Brick;Central thermostat;Fully equipped;A;Private yard Internet Cable television Kitchen merged with room;Terrace Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Plastic pipes Dish washer Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance;220 m;1,7 km;380 m;370 m;0;;
Vilnius;Žvėrynas;Sakalų g.;280 000 € (4 881 €/m²);22;;57,37 m²;3;5;7;2016;Brick;Central thermostat;Fully equipped;A;Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television;Balcony;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath Recuperation;Steel doors Code door lock;370 m;340 m;320 m;130 m;"57,94 €/month
~ 1,01 €/m²";;
Vilnius;Pilaitė;M. Mažvydo g.;147 000 € (2 662 €/m²);5;;55,23 m²;2;5;6;2008;Brick;Central thermostat;Fully equipped;;;;;;220 m;220 m;160 m;280 m;5;;
Vilnius;Šeškinė;Šeškinės g.;129 000 € (2 562 €/m²);;;50,35 m²;2;4;9;1980;Block house;Central;Fully equipped;;;Balcony;Furniture Conditioner Washing machine;Steel doors Code door lock;200 m;330 m;70 m;170 m;"74,01 €/month
~ 1,47 €/m²";;
Vilnius;Pilaitė;Įsruties g.;"Price decreased 1,4%
136 900 € (2 852 €/m²)";30;37;48 m²;2;8;9;2012;Brick;Central;Fully equipped;;;;;;380 m;380 m;160 m;120 m;"39,36 €/month
~ 0,82 €/m²";;
Vilnius;Žvėrynas;Sėlių g.;"Price decreased 3,8%
254 000 € (3 552 €/m²)";39;;71,5 m²;4;4;5;1970;Brick;Central;Fully equipped;;Separate bathroom and WC;Balcony;Furniture Bath;Steel doors Code door lock;140 m;190 m;120 m;40 m;"79,37 €/month
~ 1,11 €/m²";;
Vilnius;Žvėrynas;Vytauto g.;358 000 € (5 744 €/m²);2;;62,33 m²;3;2;3;1957;Brick;Gas;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;Balcony;Fireplace Furniture Conditioner Washing machine Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Alarm system;280 m;110 m;270 m;130 m;6;;
Vilnius;Šnipiškės;Konstitucijos pr.;275 000 € (3 809 €/m²);;;72,19 m²;2;16;27;2004;Monolithic;Central thermostat;Fully equipped;;Internet High ceiling Kitchen merged with room Cable television;Balcony;Furniture Washing machine Bath;Steel doors Code door lock;300 m;100 m;100 m;130 m;"77,97 €/month
~ 1,08 €/m²";;
Vilnius;Šnipiškės;Konstitucijos pr.;315 000 € (3 825 €/m²);;;82,35 m²;2;8;27;2004;Monolithic;Central thermostat;Fully equipped;;Internet High ceiling Kitchen merged with room;Balcony;Furniture Conditioner Washing machine Bath;Steel doors Alarm system Code door lock;300 m;100 m;100 m;130 m;"88,94 €/month
~ 1,08 €/m²";;
Vilnius;Justiniškės;Laisvės pr.;238 000 € (3 437 €/m²);78B;;69,25 m²;3;6;9;2018;Block house;Central thermostat;Fully equipped;;Kitchen merged with room;Balcony;Furniture Washing machine Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Code door lock;90 m;250 m;330 m;220 m;"43,63 €/month
~ 0,63 €/m²";;
Vilnius;Užupis;Paupio g.;525 105 € (6 368 €/m²);58;B223;82,46 m²;3;2;4;2024;Brick;Central thermostat;Fully equipped;;Has elevator New sewage system New electrical installation Private yard Kitchen merged with room;Terrace;Conditioner Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Video surveillance;660 m;530 m;250 m;70 m;5;;
Vilnius;Žirmūnai;Kareivių g.;228 000 € (3 100 €/m²);19;;73,56 m²;3;14;16;2006;Monolithic;Central thermostat;Fully equipped;;Internet Cable television Kitchen merged with room;Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;70 m;520 m;140 m;90 m;"47,81 €/month
~ 0,65 €/m²";;
Vilnius;Kairėnai;S. B. Jundzilo g.;672 000 € (3 705 €/m²);25;;181,38 m²;4;1;1;2018;Brick;Geothermal;Fully equipped;B;High ceiling New sewage system New electrical installation Internet Cable television Kitchen merged with room;Terrace;Washing machine Furniture Floor heating system Kitchen furniture Stove Fireplace Plastic pipes Dish washer Bath Recuperation;Steel doors Alarm system;860 m;2 km;830 m;520 m;0;;
Vilnius;Naujamiestis;Kauno g.;80 000 € (3 200 €/m²);;;25 m²;1;3;4;2014;Brick;Central thermostat;Fully equipped;;;;;;390 m;190 m;190 m;140 m;12;;
Vilnius;Viršuliškės;Viršilų g.;159 000 € (2 695 €/m²);;;59 m²;2;7;23;2007;Block house;Central thermostat;Fully equipped;;;Balcony;Furniture Washing machine Bath;;420 m;370 m;580 m;280 m;"48,97 €/month
~ 0,83 €/m²";;
Vilnius;Bajorai;Paukščių Tako g.;80 000 € (1 799 €/m²);20;;44,46 m²;1;1;3;2024;Brick;Gas;Partially equipped;;New sewage system;;Floor heating system;Steel doors;1,1 km;280 m;1,2 km;220 m;0;;
Vilnius;Bajorai;Paukščių Tako g.;67 000 € (2 554 €/m²);20;;26,23 m²;1;1;3;2024;Brick;Gas;Partially equipped;;New sewage system Kitchen merged with room;;Floor heating system;Steel doors;1,1 km;280 m;1,2 km;220 m;0;;
Vilnius;Antakalnis;Antakalnio g.;"Price decreased 0,8%
126 000 € (2 172 €/m²)";55;;58 m²;3;5;5;1963;Brick;Central;Fully equipped;;Separate bathroom and WC;Balcony Cellar;Kitchen furniture;Code door lock;160 m;440 m;30 m;250 m;"74,24 €/month
~ 1,28 €/m²";;
Vilnius;Fabijoniškės;S. Stanevičiaus g.;119 800 € (1 789 €/m²);18;;66,96 m²;3;6;9;1988;Block house;Central;Fully equipped;;;Balcony;Furniture Bath;Steel doors Code door lock;220 m;340 m;210 m;140 m;12;;
Vilnius;Užupis;Polocko g.;58 000 € (1 961 €/m²);4;;29,57 m²;1;0;3;1940 construction, 2019 renovation;Brick;Central;Fully equipped;;New electrical installation Internet Kitchen merged with room;;Washing machine Furniture Kitchen furniture Stove Plastic pipes;Steel doors Code door lock;190 m;210 m;330 m;20 m;"55,59 €/month
~ 1,88 €/m²";;
Vilnius;Pilaitė;Bitėnų g.;238 000 € (3 799 €/m²);1B;;62,64 m²;3;1;5;2021;Block house;Central thermostat;Fully equipped;A+;Internet High ceiling New electrical installation Kitchen merged with room;Terrace;Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Code door lock;180 m;170 m;260 m;160 m;"32,57 €/month
~ 0,52 €/m²";;
Vilnius;Filaretai;Peteliškių g.;178 000 € (3 004 €/m²);8;;59,26 m²;3;5;6;1978 construction, 2016 renovation;Brick;Central;Fully equipped;;Separate bathroom and WC;Balcony;Furniture Kitchen furniture Bath;Steel doors Code door lock;510 m;220 m;120 m;100 m;"43,85 €/month
~ 0,74 €/m²";;
Vilnius;Užupis;Varpų g.;124 000 € (2 410 €/m²);3;;51,46 m²;2;1;5;1985 construction, 2024 renovation;Brick;Central thermostat;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;;Furniture Washing machine Kitchen furniture Stove Recuperation;Steel doors;80 m;220 m;480 m;100 m;5;;
Vilnius;Žvėrynas;D. Poškos g.;430 000 € (5 147 €/m²);;;83,54 m²;3;1;2;1940 construction, 2017 renovation;Brick;Gas;Fully equipped;;;;;;150 m;460 m;70 m;20 m;1;;
Vilnius;Jeruzalė;Kalvarijų g.;124 500 € (2 349 €/m²);;;53 m²;1;2;5;2000;Brick;Central thermostat;Fully equipped;;Kitchen merged with room;Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Code door lock;40 m;430 m;670 m;90 m;3;;
Vilnius;Pilaitė;Karaliaučiaus g.;214 900 € (3 306 €/m²);29;;65 m²;3;1;4;2024;Brick;Central thermostat;Fully equipped;;;;;;650 m;650 m;620 m;410 m;5;;
Vilnius;Jeruzalė;Rugių g.;189 000 € (3 259 €/m²);12A;;58 m²;3;9;11;2004;Brick;Central thermostat;Fully equipped;;;;;;390 m;390 m;240 m;310 m;"46,40 €/month
~ 0,80 €/m²";;
Vilnius;Šnipiškės;Apkasų g.;128 000 € (2 384 €/m²);3;;53,7 m²;2;3;5;1964;Block house;Central;Fully equipped;;New sewage system Internet Cable television;Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;160 m;270 m;60 m;90 m;14;;
Vilnius;Naujamiestis;Vytenio g.;"Price decreased 0,7%
139 999 € (2 388 €/m²)";39;;58,62 m²;3;1;5;1965;Block house;Central;Fully equipped;;Internet Cable television;Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath Recuperation;Steel doors Code door lock;60 m;320 m;440 m;240 m;"35,17 €/month
~ 0,60 €/m²";;
Vilnius;Senamiestis;Šv. Stepono g.;269 999 € (4 795 €/m²);7;;56,31 m²;3;2;3;1940 construction, 2004 renovation;Brick;Gas;Fully equipped;;High ceiling New electrical installation Internet Cable television Kitchen merged with room;Balcony Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Code door lock;90 m;150 m;160 m;150 m;48;;
Vilnius;Naujininkai;Meistrų g.;52 500 € (2 100 €/m²);8;;25 m²;1;3;4;1981 construction, 2022 renovation;Brick;Gas;Fully equipped;;;;;;1 km;1,5 km;1,7 km;110 m;0;;
Vilnius;Bajorai;Bajorų kel.;219 000 € (3 000 €/m²);21;;73 m²;4;3;4;2014;Brick;Central thermostat;Fully equipped;B;Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;250 m;1,5 km;280 m;200 m;0;;
Vilnius;Šnipiškės;Verkių g.;168 000 € (3 000 €/m²);1;;56 m²;2;2;4;1956;Brick;Central;Fully equipped;;High ceiling New electrical installation Internet Cable television;Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Code door lock;340 m;180 m;140 m;40 m;"83,44 €/month
~ 1,49 €/m²";;
Vilnius;Pilaitė;Priegliaus g.;199 000 € (2 696 €/m²);;;73,8 m²;3;2;6;2008;Brick;Central thermostat;Fully equipped;;Separate bathroom and WC Kitchen merged with room;Balcony;;Steel doors Code door lock;180 m;180 m;210 m;310 m;"57,56 €/month
~ 0,78 €/m²";;
Vilnius;Pašilaičiai;Laisvės pr.;288 000 € (2 382 €/m²);121;;120,93 m²;4;2;5;2000;Brick;Electric, sun energy;Fully equipped;;High ceiling Separate bathroom and WC New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Fireplace Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock;610 m;490 m;190 m;250 m;26;;
Vilnius;Pašilaičiai;Tarandės g.;135 000 € (3 214 €/m²);;;42 m²;2;3;4;2020;Brick;Central thermostat;Fully equipped;;;Balcony;Bath;Steel doors;830 m;1,9 km;650 m;180 m;0;;
Vilnius;Žvėrynas;A. Mickevičiaus g.;488 000 € (6 631 €/m²);26;;73,59 m²;4;2;4;1958;Brick;Gas;Fully equipped;;Internet New sewage system New electrical installation Kitchen merged with room;Balcony;Furniture Washing machine Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Alarm system Code door lock;380 m;190 m;430 m;120 m;1;;
Vilnius;Baltupiai;Kalvarijų g.;171 000 € (3 025 €/m²);;;56,52 m²;3;12;16;2006;Brick;Central thermostat;Fully equipped;;;;;;410 m;370 m;590 m;110 m;"44,09 €/month
~ 0,78 €/m²";;
Vilnius;Senamiestis;S. Skapo g.;349 000 € (4 921 €/m²);;;70,92 m²;2;1;2;1940;Brick;Electric;Fully equipped;;;;Bath;Code door lock;530 m;170 m;190 m;240 m;24;;
Vilnius;Šiaurės miestelis;Žygio g.;61 900 € (2 814 €/m²);3;;22 m²;1;6;9;1969;Brick;Central;Fully equipped;;;Balcony Cellar;Washing machine Furniture Refrigerator;Steel doors Code door lock;300 m;350 m;150 m;70 m;"35,20 €/month
~ 1,60 €/m²";;
Vilnius;Šeškinė;Laisvės pr.;"Price decreased 4,2%
229 000 € (2 290 €/m²)";79D;;100 m²;4;5;5;2000;Brick;Gas;Fully equipped;;High ceiling Two-floor flat Kitchen merged with room;Balcony;Furniture Conditioner Kitchen furniture Stove Bath;Steel doors Code door lock;400 m;390 m;270 m;220 m;21;;
