city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Flat No.
Vilnius;Naujoji Vilnia;Pergalės g.;44 000 € (2 750 €/m²);15;16 m²;1;1;4;1972;Brick;Central;Fully equipped;;;;;;190 m;310 m;350 m;160 m;"16,64 €/month
~ 1,04 €/m²";;
Vilnius;Verkiai;Verkių g.;285 000 € (3 800 €/m²);;75 m²;2;1;3;2007;Brick;Central thermostat;Fully equipped;;;;;;600 m;540 m;490 m;360 m;5;;
Vilnius;Senamiestis;A. Rotundo g.;530 000 € (4 629 €/m²);;114,5 m²;4;5;5;1956 construction, 2000 renovation;Brick;Gas;Fully equipped;;;;;;320 m;130 m;250 m;80 m;9;;
Vilnius;Rasos;Gardino g.;642 020 € (4 700 €/m²);;136,6 m²;5;3;3;2024;Brick;Aerothermal;Partially equipped;;;;;;210 m;420 m;910 m;190 m;6;;
Vilnius;Senamiestis;Šiaulių g.;860 000 € (4 526 €/m²);3;190 m²;10;1;3;1982;Brick;Central;Fully equipped;;;;;;210 m;380 m;190 m;170 m;28;;
Vilnius;Šeškinė;Buivydiškių g.;61 000 € (1 828 €/m²);36;33,37 m²;2;5;5;1987 construction, 2020 renovation;Block house;Central thermostat;Partially equipped;;;;;;220 m;350 m;250 m;90 m;6;;
Vilnius;Markučiai;Manufaktūrų g.;145 000 € (4 143 €/m²);20;35 m²;1;1;5;2019;Brick;Central thermostat;Fully equipped;;Internet Cable television Kitchen merged with room;Balcony;Washing machine Refrigerator Kitchen furniture Bath;Steel doors Alarm system Code door lock Video surveillance;240 m;750 m;30 m;320 m;"14,00 €/month
~ 0,40 €/m²";;
Vilnius;Naujamiestis;Vinco Kudirkos g.;490 000 € (3 603 €/m²);;136 m²;4;5;5;1999;Brick;Gas;Fully equipped;;;;;;150 m;420 m;480 m;290 m;5;;
Vilnius;Markučiai;Subačiaus g.;"Price decreased 1%
39 300 € (2 456 €/m²)";120;16 m²;1;4;5;1974;Brick;Central;Fully equipped;;Kitchen merged with room;;Washing machine Furniture Bath;Code door lock;80 m;810 m;80 m;90 m;"19,52 €/month
~ 1,22 €/m²";;
Vilnius;Žirmūnai;Kareivių g.;189 000 € (2 453 €/m²);2H;77,04 m²;2;2;2;2020;Brick;Gas;Fully equipped;;Private entrance High ceiling;Terrace;;;190 m;520 m;410 m;170 m;8;;3
Vilnius;Žirmūnai;Kareivių g.;260 262 € (3 350 €/m²);2H;77,69 m²;2;1;2;2020;Brick;Gas;Fully equipped;B;Private entrance High ceiling Two-floor flat Kitchen merged with room;Terrace Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Dish washer Shower;;190 m;520 m;410 m;170 m;8;;20
Vilnius;Šnipiškės;Daugėliškio g.;245 000 € (3 585 €/m²);33;68,34 m²;3;3;7;2023;Brick;Central thermostat;Fully equipped;;;;;;350 m;500 m;450 m;80 m;14;;9
Vilnius;Rasos;Gardino g.;408 035 € (3 950 €/m²);;103,3 m²;4;2;3;2024;Brick;Aerothermal;Partially equipped;;;;;;240 m;460 m;940 m;150 m;6;;
Vilnius;Lazdynai;Architektų g.;"Price decreased 1,1%
93 000 € (1 520 €/m²)";;61,2 m²;3;4;5;1970;Block house;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Storeroom Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;270 m;310 m;150 m;90 m;14;;
Vilnius;Jeruzalė;Rugių g.;144 900 € (3 293 €/m²);;44 m²;2;9;11;2004;Brick;Central thermostat;Fully equipped;;Internet High ceiling;Balcony;Furniture Bath;Steel doors Code door lock;390 m;390 m;240 m;310 m;"35,20 €/month
~ 0,80 €/m²";;
Vilnius;Antakalnis;Žolyno g.;33 602 € (1 266 €/m²);8;26,55 m²;1;4;5;1967;Brick;Central;Other;;Sale by auction;;;;390 m;560 m;260 m;100 m;"25,49 €/month
~ 0,96 €/m²";;91a
Vilnius;Rasos;Geležinė g.;61 007 € (1 429 €/m²);7;42,7 m²;1;1;1;1940;Wooden house;Other;Other;;Sale by auction;;;;530 m;550 m;860 m;310 m;0;;
Vilnius;Antakalnis;Žolyno g.;34 371 € (1 336 €/m²);8;25,73 m²;1;3;5;1967;Brick;Central;Other;;Sale by auction;;;;390 m;560 m;260 m;100 m;"24,70 €/month
~ 0,96 €/m²";;54
Vilnius;Naujamiestis;J. Jasinskio g.;"Price decreased 3%
193 000 € (3 514 €/m²)";;54,92 m²;2;3;5;1959;Brick;Central;Fully equipped;;High ceiling Separate bathroom and WC;Balcony Parking space;Bath;Code door lock;10 m;170 m;130 m;130 m;6;;
Vilnius;Baltupiai;Kazio Ulvydo g.;"Price decreased 1,9%
159 000 € (3 433 €/m²)";11;46,31 m²;2;2;5;2015;Brick;Central thermostat;Fully equipped;B;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;490 m;640 m;540 m;300 m;0;;
Vilnius;Žvėrynas;Stumbrų g.;298 000 € (4 791 €/m²);;62,2 m²;4;3;6;2016;Brick;Central thermostat;Fully equipped;;;;;;330 m;480 m;310 m;300 m;"21,15 €/month
~ 0,34 €/m²";;
Vilnius;Žirmūnai;M. Katkaus g.;195 000 € (3 337 €/m²);2B;58,44 m²;3;1;9;2017;Brick;Central;Fully equipped;;Private entrance;Terrace Parking space;Conditioner Recuperation;Steel doors Code door lock;210 m;220 m;210 m;100 m;22;;
Vilnius;Žvėrynas;Sėlių g.;"Price decreased 0,5%
218 000 € (4 103 €/m²)";72;53,13 m²;2;2;4;2000;Brick;Electric, other;Fully equipped;;Private entrance;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Plastic pipes Shower;Steel doors Alarm system;290 m;370 m;450 m;180 m;1;;
Vilnius;Naujininkai;Meistrų g.;41 000 € (2 050 €/m²);16;20 m²;1;2;5;1985;Brick;Central;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;660 m;1,4 km;1,4 km;250 m;3;;
Vilnius;Naujininkai;Meistrų g.;35 500 € (2 219 €/m²);16;16 m²;1;2;5;1985;Brick;Central;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower Recuperation;Steel doors Code door lock;660 m;1,4 km;1,4 km;250 m;3;;
Vilnius;Žirmūnai;Žirmūnų g.;170 000 € (2 675 €/m²);111;63,55 m²;4;4;9;1968;Block house;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Balcony Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;290 m;640 m;280 m;110 m;"65,46 €/month
~ 1,03 €/m²";;
Vilnius;Naujamiestis;J. Basanavičiaus g.;"Price decreased 0,6%
465 000 € (4 142 €/m²)";16A;112,27 m²;4;3;4;1940;Brick;Central;Fully equipped;;;;;;270 m;190 m;300 m;290 m;27;;
Vilnius;Senamiestis;Tauro g.;640 000 € (5 395 €/m²);;118,62 m²;4;3;4;1940;Brick;Central thermostat;Fully equipped;;;;;;400 m;300 m;330 m;240 m;16;;
Vilnius;Markučiai;Manufaktūrų g.;193 000 € (5 676 €/m²);9;34 m²;2;4;5;2023;Brick;Central thermostat;Fully equipped;A+;High ceiling Two-floor flat New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Plastic pipes Dish washer Recuperation;Steel doors Alarm system Code door lock Video surveillance Guard;170 m;720 m;50 m;250 m;"15,98 €/month
~ 0,47 €/m²";;
Vilnius;Šnipiškės;S. Fino g.;195 000 € (3 925 €/m²);;49,68 m²;3;5;6;2024;Brick;Aerothermal;Fully equipped;A+;Internet;Balcony;Furniture Recuperation;Steel doors Alarm system;210 m;510 m;130 m;100 m;15;;
Vilnius;Pilaitė;Tvankstos g.;220 000 € (3 372 €/m²);;65,24 m²;3;1;4;2018;Brick;Central thermostat;Fully equipped;;;;;;200 m;540 m;120 m;170 m;4;;
Vilnius;Senamiestis;Bokšto g.;271 000 € (5 588 €/m²);11;48,5 m²;2;1;2;1940;Brick;Central;Fully equipped;;Private yard;Parking space;Furniture;;500 m;50 m;120 m;130 m;"73,24 €/month
~ 1,51 €/m²";;
Vilnius;Žirmūnai;Žirmūnų g.;120 000 € (1 888 €/m²);;63,57 m²;3;2;9;1969;Block house;Central;Partially equipped;;;;;;200 m;540 m;210 m;180 m;11;;
